review_id,company,category,rating,review_text,review_date,verified_purchase,helpful_votes,review_length
R00001,TechBox,E-commerce électronique,1,Produit défectueux et impossible d'avoir un remboursement. Produit reçu cassé et remboursement refusé. Honteux.,2024-04-24,True,6,111
R00002,TravelEase,Voyages et hôtellerie,1,Arnaque totale. Livraison en retard de 3 semaines sans aucune explication. N'achetez surtout pas chez eux.,2024-01-16,True,14,106
R00003,TravelEase,Voyages et hôtellerie,5,"Parfait du début à la fin. Le produit est de très bonne qualité. Rien à redire, je suis client fidèle maintenant.",2024-08-17,True,0,113
R00004,FashionLine,Mode et vêtements,5,"Rien à reprocher, tout s'est passé comme prévu. Le produit est de très bonne qualité. Bravo à toute l'équipe.",2024-04-20,False,10,109
R00005,TechBox,E-commerce électronique,1,Service catastrophique ! Le service client ne répond jamais aux mails. Je veux être remboursé immédiatement.,2025-03-09,True,16,108
R00006,TechBox,E-commerce électronique,5,Très satisfait de mon achat. L'emballage était soigné. Je commanderai à nouveau sans hésiter.,2024-10-09,True,11,93
R00007,TravelEase,Voyages et hôtellerie,3,Service correct sans plus. L'emballage était basique mais protecteur. Pas vraiment de quoi se plaindre mais rien d'extraordinaire non plus.,2024-12-04,True,9,139
R00008,TechBox,E-commerce électronique,5,"Très satisfait de mon achat. La livraison a été ultra rapide, en 24h. Je commanderai à nouveau sans hésiter.",2024-08-20,True,11,108
R00009,FashionLine,Mode et vêtements,4,"Parfait du début à la fin. L'application est fluide et intuitive. Rien à redire, je suis client fidèle maintenant.",2025-04-24,True,2,114
R00010,TravelEase,Voyages et hôtellerie,5,"Parfait du début à la fin. Le service client a répondu en moins d'une heure. Rien à redire, je suis client fidèle maintenant.",2024-07-13,True,7,125
R00011,FoodDelivery,Livraison de repas,5,"Excellent service, je recommande vivement ! La livraison a été rapide et le produit correspond parfaitement à la description.",2024-01-17,False,12,125
R00012,FoodDelivery,Livraison de repas,1,Pire expérience d'achat. Produit reçu cassé et remboursement refusé. Je vais signaler à la répression des fraudes.,2024-12-01,True,41,114
R00013,BankZen,Banque en ligne,2,Quelle déception... Produit reçu cassé et remboursement refusé. On m'avait pourtant recommandé cette entreprise.,2025-01-16,True,16,112
R00014,TravelEase,Voyages et hôtellerie,4,Excellente qualité pour le prix. Le produit est de très bonne qualité. Je suis bluffé par la rapidité du service.,2024-03-11,True,2,113
R00015,TechBox,E-commerce électronique,5,"Super expérience, Les frais de livraison sont raisonnables. Le service client est réactif et professionnel.",2024-12-14,True,2,107
R00016,BankZen,Banque en ligne,4,Une vraie bonne surprise ! Le rapport qualité-prix est imbattable. Je le recommanderai à mes proches.,2025-03-16,False,3,101
R00017,TravelEase,Voyages et hôtellerie,5,"Rien à reprocher, tout s'est passé comme prévu. La livraison a été ultra rapide, en 24h. Bravo à toute l'équipe.",2024-08-10,True,0,112
R00018,FoodDelivery,Livraison de repas,5,"Super expérience, Les frais de livraison sont raisonnables. Le service client est réactif et professionnel.",2024-11-16,True,6,107
R00019,FashionLine,Mode et vêtements,4,"Super expérience, Le rapport qualité-prix est imbattable. Le service client est réactif et professionnel.",2024-06-14,True,3,105
R00020,FoodDelivery,Livraison de repas,5,Vraiment au top ! L'emballage était soigné. Merci pour cette belle expérience.,2024-05-03,False,2,78
R00021,TechBox,E-commerce électronique,5,Très satisfait de mon achat. Le produit est de très bonne qualité. Je commanderai à nouveau sans hésiter.,2024-12-03,True,5,105
R00022,FoodDelivery,Livraison de repas,4,Excellente qualité pour le prix. Le rapport qualité-prix est imbattable. Je suis bluffé par la rapidité du service.,2025-01-21,True,6,115
R00023,FoodDelivery,Livraison de repas,4,"Rien à reprocher, tout s'est passé comme prévu. Le rapport qualité-prix est imbattable. Bravo à toute l'équipe.",2024-08-19,True,7,111
R00024,TechBox,E-commerce électronique,4,"Parfait du début à la fin. L'emballage était soigné. Rien à redire, je suis client fidèle maintenant.",2024-02-06,True,1,101
R00025,FashionLine,Mode et vêtements,1,Très déçu de mon expérience. Annulation impossible et prélèvements abusifs. Je ne recommande absolument pas.,2024-06-18,True,15,108
R00026,FoodDelivery,Livraison de repas,5,"Parfait du début à la fin. L'application est fluide et intuitive. Rien à redire, je suis client fidèle maintenant.",2025-04-23,False,15,114
R00027,FashionLine,Mode et vêtements,5,Excellente qualité pour le prix. L'emballage était soigné. Je suis bluffé par la rapidité du service.,2024-02-19,True,11,101
R00028,BankZen,Banque en ligne,4,"Excellent service, je recommande vivement ! La livraison a été très rapide et le produit correspond parfaitement à la description.",2024-07-25,True,3,130
R00029,FashionLine,Mode et vêtements,3,Bon rapport qualité-prix mais Le service client met du temps à répondre. Quelques détails à améliorer.,2024-03-12,True,8,102
R00030,BankZen,Banque en ligne,3,Service correct sans plus. Le service client met du temps à répondre. Pas vraiment de quoi se plaindre mais rien d'extraordinaire non plus.,2025-02-17,False,3,139
R00031,TechBox,E-commerce électronique,5,"Excellent service, je recommande vivement ! La livraison a été très rapide et le produit correspond parfaitement à la description.",2025-03-10,True,13,130
R00032,BankZen,Banque en ligne,4,Excellente qualité pour le prix. Le produit est de très bonne qualité. Je suis bluffé par la rapidité du service.,2024-07-13,True,12,113
R00033,FoodDelivery,Livraison de repas,5,Une vraie bonne surprise ! Le service client a répondu en moins d'une heure. Je le recommanderai à mes proches.,2024-12-22,False,15,111
R00034,FashionLine,Mode et vêtements,3,Expérience moyenne. L'emballage était basique mais protecteur. J'ai eu mieux ailleurs mais c'est acceptable.,2024-10-23,True,1,108
R00035,FoodDelivery,Livraison de repas,1,Service client incompétent. L'application plante en permanence. On perd son temps à les contacter.,2025-04-15,False,10,98
R00036,TechBox,E-commerce électronique,5,Très satisfait de mon achat. L'emballage était soigné. Je commanderai à nouveau sans hésiter.,2024-10-31,True,7,93
R00037,BankZen,Banque en ligne,2,"Aucune communication, support client inexistant. L'application plante en permanence. À fuir.",2024-10-31,True,5,92
R00038,BankZen,Banque en ligne,5,"Rien à reprocher, tout s'est passé comme prévu. Le produit est de très bonne qualité. Bravo à toute l'équipe.",2024-12-08,True,7,109
R00039,FoodDelivery,Livraison de repas,4,"Vraiment au top ! La livraison a été ultra rapide, en 24h. Merci pour cette belle expérience.",2025-04-20,True,2,93
R00040,TechBox,E-commerce électronique,4,Très satisfait de mon achat. Le rapport qualité-prix est imbattable. Je commanderai à nouveau sans hésiter.,2024-04-19,True,4,107
R00041,FoodDelivery,Livraison de repas,5,"Parfait du début à la fin. La livraison a été ultra rapide, en 24h. Rien à redire, je suis client fidèle maintenant.",2024-03-21,True,9,116
R00042,TravelEase,Voyages et hôtellerie,5,"Excellent service, je recommande vivement ! La livraison a été en 48h et le produit correspond parfaitement à la description.",2024-02-23,False,4,125
R00043,FoodDelivery,Livraison de repas,2,Service catastrophique ! Description du produit complètement trompeuse. Je veux être remboursé immédiatement.,2024-10-10,True,18,109
R00044,TravelEase,Voyages et hôtellerie,3,Produit conforme à la description. La livraison a pris une semaine. La livraison aurait pu être plus rapide.,2024-12-17,True,8,108
R00045,TravelEase,Voyages et hôtellerie,4,"Excellent service, je recommande vivement ! La livraison a été très rapide et le produit correspond parfaitement à la description.",2024-08-04,False,1,130
R00046,TechBox,E-commerce électronique,4,"Super expérience, Le produit est de très bonne qualité. Le service client est réactif et professionnel.",2025-01-14,True,13,103
R00047,TravelEase,Voyages et hôtellerie,1,Service catastrophique ! Description du produit complètement trompeuse. Je veux être remboursé immédiatement.,2025-04-07,True,2,109
R00048,FoodDelivery,Livraison de repas,5,"Super expérience, Le produit est de très bonne qualité. Le service client est réactif et professionnel.",2024-01-22,True,1,103
R00049,FoodDelivery,Livraison de repas,3,Expérience moyenne. L'emballage était basique mais protecteur. J'ai eu mieux ailleurs mais c'est acceptable.,2024-06-30,False,13,108
R00050,TravelEase,Voyages et hôtellerie,5,"Parfait du début à la fin. Les frais de livraison sont raisonnables. Rien à redire, je suis client fidèle maintenant.",2025-02-19,True,13,117
R00051,TechBox,E-commerce électronique,3,Produit conforme à la description. Le service client met du temps à répondre. La livraison aurait pu être plus rapide.,2025-02-14,True,7,118
R00052,FoodDelivery,Livraison de repas,2,Service catastrophique ! Frais cachés non mentionnés au moment du paiement. Je veux être remboursé immédiatement.,2025-03-22,True,30,113
R00053,FashionLine,Mode et vêtements,3,Ça fait le job. Le produit fonctionne mais sans plus. On verra à la prochaine commande si je reviens.,2024-06-05,False,7,101
R00054,FashionLine,Mode et vêtements,1,"Aucune communication, support client inexistant. Frais cachés non mentionnés au moment du paiement. À fuir.",2024-06-17,True,4,107
R00055,FoodDelivery,Livraison de repas,4,Excellente qualité pour le prix. L'emballage était soigné. Je suis bluffé par la rapidité du service.,2024-02-29,False,8,101
R00056,FashionLine,Mode et vêtements,5,Vraiment au top ! L'emballage était soigné. Merci pour cette belle expérience.,2024-11-01,True,10,78
R00057,BankZen,Banque en ligne,5,Très satisfait de mon achat. Le rapport qualité-prix est imbattable. Je commanderai à nouveau sans hésiter.,2024-04-07,True,13,107
R00058,TechBox,E-commerce électronique,4,"Parfait du début à la fin. Le service client a répondu en moins d'une heure. Rien à redire, je suis client fidèle maintenant.",2024-02-05,False,10,125
R00059,TravelEase,Voyages et hôtellerie,4,Très satisfait de mon achat. Le rapport qualité-prix est imbattable. Je commanderai à nouveau sans hésiter.,2024-06-07,True,10,107
R00060,BankZen,Banque en ligne,5,"Super expérience, Le service client a répondu en moins d'une heure. Le service client est réactif et professionnel.",2024-12-06,False,5,115
R00061,TravelEase,Voyages et hôtellerie,5,"Excellente qualité pour le prix. La livraison a été ultra rapide, en 24h. Je suis bluffé par la rapidité du service.",2024-05-26,True,10,116
R00062,BankZen,Banque en ligne,4,"Parfait du début à la fin. Les frais de livraison sont raisonnables. Rien à redire, je suis client fidèle maintenant.",2025-04-06,False,5,117
R00063,TechBox,E-commerce électronique,3,Pas mal dans l'ensemble. Le prix est dans la moyenne du marché. Je verrai si je récidive.,2024-06-20,True,7,89
R00064,FoodDelivery,Livraison de repas,3,Expérience moyenne. La livraison a pris une semaine. J'ai eu mieux ailleurs mais c'est acceptable.,2024-01-13,True,15,98
R00065,TravelEase,Voyages et hôtellerie,5,Très satisfait de mon achat. Le service client a répondu en moins d'une heure. Je commanderai à nouveau sans hésiter.,2025-03-29,True,6,117
